,ghi,kWh
2018-01-01 00:00:00,0.0,0.0
2018-01-01 01:00:00,0.0,0.0
2018-01-01 02:00:00,0.0,0.0
2018-01-01 03:00:00,0.0,0.0
2018-01-01 04:00:00,0.0,0.0
2018-01-01 05:00:00,0.0,0.0
2018-01-01 06:00:00,0.0,0.0
2018-01-01 07:00:00,0.0,0.0
2018-01-01 08:00:00,37.38583707296076,31.603182723700556
2018-01-01 09:00:00,165.05236113729038,139.52288717838
2018-01-01 10:00:00,278.1211055467922,235.1027235463421
2018-01-01 11:00:00,351.5384963619255,297.16427943714467
2018-01-01 12:00:00,374.90285259927293,316.9147538734804
2018-01-01 13:00:00,345.2878569998498,291.880457718398
2018-01-01 14:00:00,266.4273920075671,225.21773514879666
2018-01-01 15:00:00,149.81559354593918,126.64286661422103
2018-01-01 16:00:00,24.29045927788151,20.53333248907519
2018-01-01 17:00:00,0.0,0.0
2018-01-01 18:00:00,0.0,0.0
2018-01-01 19:00:00,0.0,0.0
2018-01-01 20:00:00,0.0,0.0
2018-01-01 21:00:00,0.0,0.0
2018-01-01 22:00:00,0.0,0.0
2018-01-01 23:00:00,0.0,0.0
2018-01-02 00:00:00,0.0,0.0
2018-01-02 01:00:00,0.0,0.0
2018-01-02 02:00:00,0.0,0.0
2018-01-02 03:00:00,0.0,0.0
2018-01-02 04:00:00,0.0,0.0
2018-01-02 05:00:00,0.0,0.0
2018-01-02 06:00:00,0.0,0.0
2018-01-02 07:00:00,0.0,0.0
2018-01-02 08:00:00,37.446976097348774,31.65486506949135
2018-01-02 09:00:00,165.48609700372467,139.88953494967356
2018-01-02 10:00:00,279.0092417444246,235.85348727760575
2018-01-02 11:00:00,352.90135146828175,298.3163349299253
2018-01-02 12:00:00,376.7126348166154,318.4446080263554
2018-01-02 13:00:00,347.4673554867177,293.7228422768096
2018-01-02 14:00:00,268.8413710093447,227.2583319484743
2018-01-02 15:00:00,152.2286240800312,128.6826616504524
2018-01-02 16:00:00,25.97381968702493,21.956319126934346
2018-01-02 17:00:00,0.0,0.0
2018-01-02 18:00:00,0.0,0.0
2018-01-02 19:00:00,0.0,0.0
2018-01-02 20:00:00,0.0,0.0
2018-01-02 21:00:00,0.0,0.0
2018-01-02 22:00:00,0.0,0.0
2018-01-02 23:00:00,0.0,0.0
2018-01-03 00:00:00,0.0,0.0
2018-01-03 01:00:00,0.0,0.0
2018-01-03 02:00:00,0.0,0.0
2018-01-03 03:00:00,0.0,0.0
2018-01-03 04:00:00,0.0,0.0
2018-01-03 05:00:00,0.0,0.0
2018-01-03 06:00:00,0.0,0.0
2018-01-03 07:00:00,0.0,0.0
2018-01-03 08:00:00,37.5979632595019,31.782498292338445
2018-01-03 09:00:00,166.04552020310177,140.362429365687
2018-01-03 10:00:00,280.0344852921525,236.7201512795888
2018-01-03 11:00:00,354.4045286372524,299.58700817028534
2018-01-03 12:00:00,378.66058685217206,320.09126058081233
2018-01-03 13:00:00,349.7785768328058,295.6765754611916
2018-01-03 14:00:00,271.3768644542947,229.4016479448267
2018-01-03 15:00:00,154.74927178937628,130.81342817535452
2018-01-03 16:00:00,27.75228548829177,23.45970073039024
2018-01-03 17:00:00,0.0,0.0
2018-01-03 18:00:00,0.0,0.0
2018-01-03 19:00:00,0.0,0.0
2018-01-03 20:00:00,0.0,0.0
2018-01-03 21:00:00,0.0,0.0
2018-01-03 22:00:00,0.0,0.0
2018-01-03 23:00:00,0.0,0.0
2018-01-04 00:00:00,0.0,0.0
2018-01-04 01:00:00,0.0,0.0
2018-01-04 02:00:00,0.0,0.0
2018-01-04 03:00:00,0.0,0.0
2018-01-04 04:00:00,0.0,0.0
2018-01-04 05:00:00,0.0,0.0
2018-01-04 06:00:00,0.0,0.0
2018-01-04 07:00:00,0.0,0.0
2018-01-04 08:00:00,37.83932510196005,31.98652749181438
2018-01-04 09:00:00,166.7308579274715,140.94176247753984
2018-01-04 10:00:00,281.1966997221255,237.70260019260576
2018-01-04 11:00:00,356.04752416792434,300.97587336725064
2018-01-04 12:00:00,380.7458806113424,321.854011527783
2018-01-04 13:00:00,352.2204617367907,297.7407618176526
2018-01-04 14:00:00,274.0327474316605,231.6467322226684
2018-01-04 15:00:00,157.37669469440524,133.0344544425481
2018-01-04 16:00:00,29.62678515446365,25.044262160696984
2018-01-04 17:00:00,0.0,0.0
2018-01-04 18:00:00,0.0,0.0
2018-01-04 19:00:00,0.0,0.0
2018-01-04 20:00:00,0.0,0.0
2018-01-04 21:00:00,0.0,0.0
2018-01-04 22:00:00,0.0,0.0
2018-01-04 23:00:00,0.0,0.0
2018-01-05 00:00:00,0.0,0.0
2018-01-05 01:00:00,0.0,0.0
2018-01-05 02:00:00,0.0,0.0
2018-01-05 03:00:00,0.0,0.0
2018-01-05 04:00:00,0.0,0.0
2018-01-05 05:00:00,0.0,0.0
2018-01-05 06:00:00,0.0,0.0
2018-01-05 07:00:00,0.0,0.0
2018-01-05 08:00:00,38.17172200816081,32.26751090654854
2018-01-05 09:00:00,167.54233097208348,141.62772092897646
2018-01-05 10:00:00,282.49571129405354,238.8006871496458
2018-01-05 11:00:00,357.82978241317034,302.4824608184132
2018-01-05 12:00:00,382.9676284667222,323.73211053363195
2018-01-05 13:00:00,354.7918885466839,299.91445318572556
2018-01-05 14:00:00,276.8078328686786,233.99258131971573
2018-01-05 15:00:00,160.1099851464603,135.34497319393157
2018-01-05 16:00:00,31.598046639352845,26.710618775410943
2018-01-05 17:00:00,0.0,0.0
2018-01-05 18:00:00,0.0,0.0
2018-01-05 19:00:00,0.0,0.0
2018-01-05 20:00:00,0.0,0.0
2018-01-05 21:00:00,0.0,0.0
2018-01-05 22:00:00,0.0,0.0
2018-01-05 23:00:00,0.0,0.0
2018-01-06 00:00:00,0.0,0.0
2018-01-06 01:00:00,0.0,0.0
2018-01-06 02:00:00,0.0,0.0
2018-01-06 03:00:00,0.0,0.0
2018-01-06 04:00:00,0.0,0.0
2018-01-06 05:00:00,0.0,0.0
2018-01-06 06:00:00,0.0,0.0
2018-01-06 07:00:00,0.0,0.0
2018-01-06 08:00:00,38.59594117856441,32.62611397676996
2018-01-06 09:00:00,168.4801437331498,142.42047750122484
2018-01-06 10:00:00,283.931294513922,240.01422153498112
2018-01-06 11:00:00,359.7506766378772,304.1062407289135
2018-01-06 12:00:00,385.3248597885516,325.72473710075735
2018-01-06 13:00:00,357.49164615862105,302.1966257890363
2018-01-06 14:00:00,279.70084194934526,236.43811422083027
2018-01-06 15:00:00,162.94813933421352,137.74413588269405
2018-01-06 16:00:00,33.66657669495847,28.45919894466577
2018-01-06 17:00:00,0.0,0.0
2018-01-06 18:00:00,0.0,0.0
2018-01-06 19:00:00,0.0,0.0
2018-01-06 20:00:00,0.0,0.0
2018-01-06 21:00:00,0.0,0.0
2018-01-06 22:00:00,0.0,0.0
2018-01-06 23:00:00,0.0,0.0
2018-01-07 00:00:00,0.0,0.0
2018-01-07 01:00:00,0.0,0.0
2018-01-07 02:00:00,0.0,0.0
2018-01-07 03:00:00,0.0,0.0
2018-01-07 04:00:00,0.0,0.0
2018-01-07 05:00:00,0.0,0.0
2018-01-07 06:00:00,0.0,0.0
2018-01-07 07:00:00,0.0,0.0
2018-01-07 08:00:00,39.11288905364068,33.06310293926881
2018-01-07 09:00:00,169.54447645006627,143.32018455515228
2018-01-07 10:00:00,285.50316125179796,241.3429597851761
2018-01-07 11:00:00,361.80949477325447,305.8466111692013
2018-01-07 12:00:00,387.81650351004913,327.83098582963225
2018-01-07 13:00:00,360.31841391134503,304.58616323960774
2018-01-07 14:00:00,282.71038206358133,238.9821537178969
2018-01-07 15:00:00,165.89003429078508,140.2309932368579
2018-01-07 16:00:00,35.832645501599984,30.290231058640007
2018-01-07 17:00:00,0.0,0.0
2018-01-07 18:00:00,0.0,0.0
2018-01-07 19:00:00,0.0,0.0
2018-01-07 20:00:00,0.0,0.0
2018-01-07 21:00:00,0.0,0.0
2018-01-07 22:00:00,0.0,0.0
